row_number,restaurant_name_he,city_he,city_en,current_address_he,google_address_he,verdict,verdict_note,evidence_url,corroborating_urls,candidates,needs_review,search_note
2,אברמיטו,בית שמש,Beit Shemesh,יגאל אלון 6,"שד' יגאל אלון 6, בית שמש",SAME,,https://www.d.co.il/80366803/35790/,https://www.rest.co.il/rest/80366803/; https://avramito.co.il/,,FALSE,
3,איטליוני,בני ברק,Bnei Brak,ירושלים 36,,AMBIGUOUS,,,,"ירושלים 36, בני ברק (https://www.kosharot.co.il/index2.php?id=440631&lang=HEB); הירקון 8, בני ברק (פרדס כץ) (https://www.d.co.il/80297591/39460/)",FALSE,two distinct addresses found for the same business name
4,ג'סט מיט,בני ברק,Bnei Brak,מצדה 7,"מצדה 7, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=432689&lang=HEB,https://www.just-meat.co.il/contact; https://easy.co.il/page/27108991,,FALSE,"chain; also delivery-listed under BSR4 tower, same Bnei Brak location per multiple sources"
5,גריל בשרים (הכל בפיתה),בית שמש,Beit Shemesh,שדרות האמוראים 59,,NOT_FOUND,,,,,FALSE,only aggregator/list pages surfaced (easy.co.il area listings); no single business-page URL confirming address located
6,הבגט,חולון,Holon,הר הצופים 22,"הבגט - הר הצופים 42, חולון",CHANGED_NUMBER,one source names the street more fully than the other,https://easy.co.il/page/10162292,,,FALSE,"found street number (42) differs from corpus (22); reporting as published, not adjudicating"
7,הטאבון של מאיה,בני ברק,Bnei Brak,ז'בוטינסקי 88,"זאב ז'בוטינסקי 88, בני ברק",SAME,one source names the street more fully than the other,https://www.d.co.il/80386571/39460/,https://www.rest.co.il/rest/80386571/,,FALSE,
8,המסעדה היהודית,בני ברק,Bnei Brak,כנרת 4,"כנרת 4, בני ברק",SAME,,https://easy.co.il/en/page/8827075,https://rest.jdn.co.il/rest/1279/,,FALSE,
9,המעדניה של בני ברק,בני ברק,Bnei Brak,רבי עקיבא 150,,AMBIGUOUS,,,,"יונה הנביא 14, בני ברק (https://easy.co.il/en/page/3083354); רבי עקיבא 150, בני ברק (https://www.kosharot.co.il/index2.php?id=400124&lang=HEB)",FALSE,sources disagree on street for same business name
10,הקדרה,בני ברק,Bnei Brak,בר אילן 24,,NOT_FOUND,,,,,FALSE,"no listing found under the name הקדרה on Bar Ilan St, Bnei Brak; searches surfaced unrelated delis instead"
11,השוויגער,בית שמש,Beit Shemesh,שדרות האמוראים 69,"שדרות האמוראים 69, בית שמש",SAME,,https://www.kosharot.co.il/index2.php?id=432752&lang=HEB,https://hashviger.co.il/,,FALSE,
12,חברים מהדרין,ירושלים,Jerusalem,קניון רמות,,AMBIGUOUS,,,,"קניון רמות, ירושלים (https://easy.co.il/en/page/27245176); שדרות יצחק רבין 10, ירושלים (סינמה סיטי) (https://easy.co.il/en/page/27111896)",FALSE,chain has multiple branches in Jerusalem; phone number on Ramot Mall listing matches corpus phone
13,טעים בבית,בני ברק,Bnei Brak,שאול המלך 21,,NOT_FOUND,,,,,FALSE,business confirmed to exist near Shaul HaMelech St (phone matches) but no listing gave a house number
14,טשולנטזיץ,עפולה,Afula,"קק""ל 24",,NOT_FOUND,,,,,FALSE,no credible results for this business name in Afula; searches returned unrelated businesses
15,מאמה מיה,טבריה,Tiberias,מדרחוב הבנים,"מדרחוב הבנים, טבריה",SAME,house number missing on one side; compared on street name only,https://www.kosharot.co.il/index2.php?id=420305&lang=HEB,https://rest.jdn.co.il/rest/782/,,FALSE,
16,מוכן ומזומן,בני ברק,Bnei Brak,חזון איש 17,"חזון איש 17, בני ברק",SAME,,https://www.d.co.il/12883490/30450/,https://easy.co.il/en/page/8827060,,FALSE,
17,מורדי'ס,צפת,Safed,בר יוחאי 1,,NOT_FOUND,,,,,FALSE,no listing found for this business name in Safed
18,מטעמים,חיפה,Haifa,מיכאל 7,"מיכאל 7, חיפה",SAME,,https://www.kosharot.co.il/index2.php?id=413450&lang=HEB,https://www.waze.com/live-map/directions/%D7%9E%D7%98%D7%A2%D7%9E%D7%99%D7%9D-%D7%9E%D7%99%D7%9B%D7%90%D7%9C-7-%D7%97%D7%99%D7%A4%D7%94,,FALSE,
19,מנטה בייגל,בני ברק,Bnei Brak,ירושלים 23,"ירושלים 23, בני ברק",SAME,,https://www.d.co.il/80060671/30442/,https://easy.co.il/en/page/3520002,,FALSE,
20,מסובין,בית שמש,Beit Shemesh,שדרות יגאל אלון 2,"שדרות יגאל אלון 2, בית שמש",SAME,,https://www.d.co.il/80295173/35790/,https://easy.co.il/en/page/26161941,,FALSE,
21,מעדני פרידמן,בני ברק,Bnei Brak,"ראב""ד 32",,NOT_FOUND,,,,,FALSE,no listing under this business name; only a same-surname dentist and a differently-named deli (מעדניית שף) at Rav'ad St turned up
22,"מעדני ש""פ",בני ברק,Bnei Brak,"ראב""ד 26","ראב""ד 26, בני ברק",SAME,,https://easy.co.il/en/page/26121994,https://www.dunsguide.co.il/Ca110b04395efe10bda632a09af6fc142_%D7%9E%D7%A2%D7%93%D7%A0%D7%99%D7%95%D7%AA/%D7%9E%D7%A2%D7%93%D7%A0%D7%99%D7%99%D7%AA_%D7%A9%D7%A4/,,FALSE,"business listed online as 'מעדניית שף' - plausible name variant of corpus 'מעדני ש""פ'; address matches corpus exactly"
