restaurant_name_he,address_he,city_he,city_en,phone,business_type_he,diet_type,certifier_ids,corroboration_count,source_documents,source_date,record_state,needs_review,notes,dedupe_hash_sha256
אברמיטו,יגאל אלון 6,בית שמש,Beit Shemesh,*5113,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,b2f12971ecdbb088c3d9b78985f7fd0db91f8d95cba6b3379dbcaf568f2c55ba
איטליוני,ירושלים 36,בני ברק,Bnei Brak,1700501222,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,ce0062b2c2f179f4be388b6a56529df49f191dc28e02eefdfdc49c8948abd8f6
ג'סט מיט,מצדה 7,בני ברק,Bnei Brak,*6867,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,617c36399fae0bdc2eb40084565b4567a1cd7c557a547f9d371b98b7e5476da1
גריל בשרים (הכל בפיתה),שדרות האמוראים 59,בית שמש,Beit Shemesh,,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,83d8133be46b47c1d6efcae0b55fb045e27d456bddb95cf99cdde1c16c64bcd0
הבגט,הר הצופים 22,חולון,Holon,037237555,מסעדות ומזנונים,meat,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,a0d85a3ffb939f7e05746d896bafdaf5e0b5e079f00d57854e8791d4bf180b5c
הטאבון של מאיה,ז'בוטינסקי 88,בני ברק,Bnei Brak,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,103a0624b4bfa0a4c1c5d38de2023e41076b2fdaff1d14e62c6641e0f4ef3745
המסעדה היהודית,כנרת 4,בני ברק,Bnei Brak,035789999,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,bd744deb188a6edd99c00824b75e1c27b85c24c448927d29e3a2655ab54b8079
המעדניה של בני ברק,רבי עקיבא 150,בני ברק,Bnei Brak,036163468,מעדניות,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,b87ba78341b2da0ff7f45d3a409dd5a50888f7eb1c62f35f86b35fd832546661
הקדרה,בר אילן 24,בני ברק,Bnei Brak,0556789772,מעדניות,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,39076fba70b95d018d756bad5beb3aa622c6d33191c688b7c63d32df54023fb5
השוויגער,שדרות האמוראים 69,בית שמש,Beit Shemesh,025859997,מעדניות,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,81aedc1e45b6c50f3be2ec24065792208f30b8804f9d0882aae214bbe750879c
חברים מהדרין,קניון רמות,ירושלים,Jerusalem,0779386151,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,bb2ac0603ff7b0e6f6085d477dcca1140b01d51f8660568b39a28b0f4225b78e
טעים בבית,שאול המלך 21,בני ברק,Bnei Brak,0548406437,"קייטרינג בשרי,מסעדות ומזנונים",meat,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,220b50a78bcac7b8df5265bc1bddd9d79f930237ab0ed87a4b1a2ac538fe7c54
טשולנטזיץ,"קק""ל 24",עפולה,Afula,0522025655,מעדניות,,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,02e635b201f81049cd9f559dd855459e1e101ee47b19dc2d65927d8489206e0a
מאמה מיה,מדרחוב הבנים,טבריה,Tiberias,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,c9ec6b6131cbdce91935917e8bad08900f045166d9fa7a6e267bf8a8eda9091b
מוכן ומזומן,חזון איש 17,בני ברק,Bnei Brak,036188526,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,48aa50fc6317433aad36962e12939f19d71f6693bb4c423fb2a17d8da2836f9c
