שם עסק,כתובת,עיר,טלפון,פעילות עסק
איטליוני,ירושלים 36,בני ברק,1700501222,מסעדה חלבית
הטאבון של מאיה,ז'בוטינסקי 88,בני ברק,,מסעדה חלבית
מאמה מיה,מדרחוב הבנים,טבריה,,מסעדה חלבית
משולשים אקספרס,שדרות האמוראים 26,בית שמש,,מסעדה חלבית
משולשים אקספרס,"הר""ן 7",ביתר עילית,,מסעדה חלבית
משולשים אקספרס,יגאל אלון 6,בית שמש,,מסעדה חלבית
משולשים אקספרס,נחל שורק 48,בית שמש,,מסעדה חלבית
פינת הגלידה,כהנמן 107,בני ברק,,מסעדה חלבית
פינת הגלידה,אהרונוביץ 10,בני ברק,035796515,מסעדה חלבית
פינת הגלידה,רבי יהודה הנשיא 94,אלעד,039329555,מסעדה חלבית
פינת הגלידה,שדרות האמוראים 2,בית שמש,,מסעדה חלבית
פיצה ועוד בטאבון,זבוטינסקי 134,בני ברק,036484827,מסעדה חלבית
אברמיטו,יגאל אלון 6,בית שמש,*5113,מסעדות ומזנונים
ג'סט מיט,מצדה 7,בני ברק,*6867,מסעדות ומזנונים
גריל בשרים (הכל בפיתה),שדרות האמוראים 59,בית שמש,,מסעדות ומזנונים
הבגט,הר הצופים 22,חולון,037237555,מסעדות ומזנונים
המסעדה היהודית,כנרת 4,בני ברק,035789999,מסעדות ומזנונים
חברים מהדרין,קניון רמות,ירושלים,0779386151,מסעדות ומזנונים
מוכן ומזומן,חזון איש 17,בני ברק,036188526,מסעדות ומזנונים
מורדי'ס,בר יוחאי 1,צפת,0534520530,מסעדות ומזנונים
מסובין,שדרות יגאל אלון 2,בית שמש,029911778,מסעדות ומזנונים
סול - מסעדת דגים ובשרים,מדרחוב הבנים,טבריה,0747978770,מסעדות ומזנונים
פלאפל רבי עקיבא - גריל בשרים,רבי עקיבא 31,בני ברק,036428540,מסעדות ומזנונים
צלילי האש,זבוטינסקי 100,בני ברק,,מסעדות ומזנונים
שווארמה פלאפל רבי עקיבא,שמעון בן שטח 8,אלעד,036586777,מסעדות ומזנונים
שטיסל,הרב שך 14,בני ברק,035706005,מסעדות ומזנונים
שניצל וולנו,מצדה 6,בני ברק,039027778,מסעדות ומזנונים
שניצלשף,ירושלים 8,בני ברק,035084881,מסעדות ומזנונים
"מעדני ש""פ","ראב""ד 26",בני ברק,,"מסעדות ומזנונים,מעדניות"
שאבעס ביג - מחלקת אוכל מוכן פתוח,בן יעקב 26,בני ברק,0527153753,"מסעדות ומזנונים,מעדניות"
המעדניה של בני ברק,רבי עקיבא 150,בני ברק,036163468,מעדניות
הקדרה,בר אילן 24,בני ברק,0556789772,מעדניות
השוויגער,שדרות האמוראים 69,בית שמש,025859997,מעדניות
טשולנטזיץ,"קק""ל 24",עפולה,0522025655,מעדניות
מעדני פרידמן,"ראב""ד 32",בני ברק,035796826,מעדניות
שפסל בשטייטל,הלפרין 10,בני ברק,,מעדניות
טעים בבית,שאול המלך 21,בני ברק,0548406437,"קייטרינג בשרי,מסעדות ומזנונים"
שטיסל,בר יוחאי 4,בני ברק,036777990,"קייטרינג בשרי,מסעדות ומזנונים"
מטעמים,מיכאל 7,חיפה,0774604684,"קייטרינג בשרי,מסעדות ומזנונים,מעדניות"
מנטה בייגל,ירושלים 23,בני ברק,036164990,"קייטרינג חלבי,מסעדה חלבית"
פקורינו - מסעדה חלבית וקייטרינג,יצחק בן צבי 1,טבריה,046735111,"קייטרינג חלבי,מסעדה חלבית"
