"name","address","city","opening_hours","certificate","phone","category","source_url"
"ג'פאן ג'פאן","יהדות דרום אפריקה 2, אופקים","אופקים","א'-ה-12:00-23:00
שישי-סגור
שבת-שעה אחרי צאת שבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-2"
"טורו סושי","יצחק רבין 5, אור יהודה","אור יהודה","","בית יוסף","08-640-5555","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%98%D7%95%D7%A8%D7%95-%D7%A1%D7%95%D7%A9%D7%99"
"טורקיש גריל","עבודה 2 אור יהודה","אור יהודה","ראשון עד חמישי: 11:00 – 00:00
שבת: שעה מצאת השבת ועד חצות
​","בית יוסף","053-6354094","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%98%D7%95%D7%A8%D7%A7%D7%99%D7%A9-%D7%92%D7%A8%D7%99%D7%9C"
"פארוק","שדרות מרדכי בן פורת 70, אור יהודה","אור יהודה","א'-ה' 10:00-24:00","בית יוסף","03-533-0159","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%90%D7%A8%D7%95%D7%A7"
"פינת הצלע","השקמה 2, אזור","אזור","ימים א'-ה' 11:00-23:00","בית יוסף","03-6540363","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%99%D7%A0%D7%AA-%D7%94%D7%A6%D7%9C%D7%A2"
"בורגרס בר - מרכז ביג","הסתת 20, מרכז ביג, אילת","אילת","א'-ד': 11:00-22:00
ה': 11:00-22:00
ו': 11:00-15:00
מוצ""ש: חצי שעה לאחר צאת השבת ועד 23:00","בית יוסף","2242*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-3"
"בורגרס בר - פנינת אילת","דרבן 4, מרכז פנינה אילת","אילת","א'-ד': 11:00-03:00
ה': 11:00-03:00
ו': 11:00-15:00
מוצ""ש: חצי שעה לאחר צאת השבת עד 03:00","הרב מחפוד","2242*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-3"
"שיפודי ציפורה","קאמן 10, אילת","אילת","א'-ה' 12:00-22:00","בית יוסף","08-637-8228","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A9%D7%99%D7%A4%D7%95%D7%93%D7%99-%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%94"
"בורגרס בר","הגדוד העברי 5 גן העיר אשדוד","אשדוד","א-ה: 11:00-00:00
מוצא""ש: עד 00:00","בית יוסף","2242 *","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-2"
"ויצמן","הבנאים 9, אשדוד","אשדוד","א'-ד' 12:00-22:30
יום ה' 12:00-23:00","הרב מחפוד","08-852-2593","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%95%D7%99%D7%A6%D7%9E%D7%9F"
